id,title,content,url
300811817,How to Set up Slack on your Phone?,"Download Slack app from app store on your phone.On the initial screen, choose Sign In. Next, choose I'll sign in manually. It will ask for Slack workspace url, which is gustohq. Next, choose Sign In with Okta It will then show an Okta sign-in page. Sign in using your Okta username (firstname.lastname) and your Okta/computer password. It will then prompt you for Okta 2FA.The next screen will ask you to enable notifications. Then you'll be in! If you have questions, IT is happy to help! Just post your question in the #itops channel or submit a Jira to IT. *Because these steps may change due to app updates or phone software differences, here are the links to Slack's documentation:Setting up slack for iOS: https://get.slack.help/hc/en-us/articles/208401947-Slack-for-iOS Setting up slack for Android:https://get.slack.help/hc/en-us/articles/207691318-Slack-for-Android. Need more guidance? Check out the guide below with pictures! How to Set up Slack on your Phone",https://confluence.gustocorp.com/pages/viewpage.action?pageId=300811817
504301698,Page not found errors in Confluence,"Team, due to a recent critical security update with Confluence which has impacted our Okta SAML auth Workflow, will guide youto https://confluence.gustocorp.com/okta_acs.jsp which will give a Page not found error. After you see this page error, you can proceed to your Confluence page as usual. Engineering is currently aware of this issue and has reported it to Okta/Atlassian.No ETA for resolution, currently.",https://confluence.gustocorp.com/display/GGKB/Page+not+found+errors+in+Confluence
504301695,VMware Access Denied Errors,"If you are seeing Access Denied errors when attempting to log into VMware, please take the following steps to resolve the issue:1.  For your  Username, make sure you are logging in using your full email address, including @gusto.com or @gustocare.com (example: jim.jones@gusto.com)2. Make sure to have Okta Verify properly configured on your phone, follow this article on enrolling your phone, if needed.https://confluence.gustocorp.com/pages/viewpage.action?page. Id=414745175#tab-Step+4(If you are not getting Okta Pushes sent to your phones, please try disabling Wi. Fi on your phone to see if those pushes come over your Mobile Data providers network).If you are still getting errors, please try restarting your phone and Home Router/Wi. Fi Access point to rule out ISP-related issues.",https://confluence.gustocorp.com/display/GGKB/VMware+Access+Denied+Errors
465897123,How to Get Access to LinkedIn Recruiting,"Step One: Linked. In Recruiter must first be enabled through Okta. To add the Linked. In Recruiter tile to your Okta, please reach out to IT in any of the following ways:#itopsgo/geek. Slack Geek Bot. Step 2: Please log a Jira ticket with the Talent Ops and Programs team (https://go/iop) to have your Recruiter license granted.Step 3: Updating your Linked. In Primary Email. Your Gusto email address MUST be set as the primary email in your Linked. In account in order to have and maintain access to your Recruiter seat (see here for a step-by-step guide to updating your primary Linked. In email)",https://confluence.gustocorp.com/display/GGKB/How+to+Get+Access+to+LinkedIn+Recruiting
300549654,How to erase and reinstall macOS on Mac's with an M1/M2 Chip {Apple Silicon},"Do I have an Apple Silicon Mac?The quickest way to check is from    About This Mac. If it says Apple M1 (or higher), you are on Apple Silicon. Erasing:Choose the Apple menu  Shut Down. Press and hold the power button until “Loading startup options” appears.If this does not appear, shut down, hold command option and R keys while tapping the power button once to turn on.Let go of the keys when you see a progress bar under the Apple logo. Connect to Wi. FiSelect Options, click Continue. Select Disk Utility. Select each option under Internal on the left panel.Click the erase button.X out of this window to return to the previous menu.Reinstalling MacOS:In the Recovery app window, select Reinstall macOS click Continue. Follow the onscreen instructions.",https://confluence.gustocorp.com/pages/viewpage.action?pageId=300549654
465306778,Troubleshooting 1Password Login with Okta,"If you are trying to log into 1Password with your Okta credentials and are receiving an error message, try resetting your 1Password.To do this:1. Go into the app settings  select advanced and reset 1Password.2. After a screen pops up with a text box, press sign in another way and sign in with SSO.3. Type in https://gustohq.1password.com and enter your Gusto email. You will then have to verify the device through your browser. If you need further assistance, please reach out to the #itops channel in Slack.",https://confluence.gustocorp.com/display/GGKB/Troubleshooting+1Password+Login+with+Okta
503808153,Grammarly Chrome Freezing Troubleshooting Steps,"In efforts to mitigate a recurring issue with the Grammarly Desktop app causing Google Chrome to freeze and become non-responsive, try the following steps to resolve the issue:Important. Please be sure to collect the following information from the Gusties Mac, before performing the troubleshooting steps and document in the Jira Ticket.Current MacOS version:  → About This Mac. Current Grammarly Desktop App version: Grammarly App → Settings (version number is located in the top-right of the modal window).Step-by-step guide. If Chrome is currently not responding or the pinwheel is active, press ⌘ + ⌥ + ESC on the keyboard to Force Quit Chrome.Quit the Grammarly Desktop App and perform the following steps to cleanly uninstall it:Drag the Grammarly Desktop.app from the Applications folder to the trash. Note: If prompted for a password, enter in the password you use to log into your Mac).Navigate to ~/Library/Preferences/  and delete all references to Grammarly.Navigate to ~/Library/Application Support/  and delete all references to Grammarly.Navigate to ~/Library/Caches/ and delete all references to Grammarly.Remove the Grammarly extension from Chrome: Extensions icon → (3) Ellipsis → Remove from Chrome Reboot the Mac.Install the Grammarly Desktop App from Managed Software Center.Reinstall the Grammarly Chrome extension",https://confluence.gustocorp.com/display/GGKB/Grammarly+Chrome+Freezing+Troubleshooting+Steps
498303662,"Resetting Coupa 2FA
-QipAmisydh","If you are having trouble with DUO authorization codes when trying to access a virtual card, you will need to submit a ticket to the Fin. Tech team from this link:  https://jira.gustocorp.com/servicedesk/customer/portal/29 . For more information, please refer to the Confluence page  https://confluence.gustocorp.com/pages/viewpage.action?page. Id=270501111 .",https://confluence.gustocorp.com/display/GGKB/Resetting+Coupa+2FA%0A-QipAmisydh
498303663,"How to Create a PHC Ticket
-2hhcXkR69s","If you need to close out a couple of workday tasks, IT unfortunately doesn't have the ability to do so. You will want to raise a PHC ticket to have our People team to take a look. To create a PHC ticket, visit  https://go/phc . Once the ticket is closed, mark it as resolved.",https://confluence.gustocorp.com/display/GGKB/How+to+Create+a+PHC+Ticket%0A-2hhcXkR69s
300549588,How to create a Slack user group/handle,"Interested in setting up a new user group/handle for your team on Slack? Go ahead and follow the steps below: Open up your Slack app. On the top left, under the Slack connect option, click on More.Choose Your organization, then select People.Click on User groups on the top left.Click on New User Group on the top right. All set! Now you can tag your team with this new Slack handle! Need extra guidance! Check out this guide with pictures! ",https://confluence.gustocorp.com/pages/viewpage.action?pageId=300549588
